"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
"
North America
","13,485,182","+86,073","377,655",+629,"8,496,308","+36,836","4,611,219","24,665"
"
Asia
","15,161,091","+80,031","267,706","+1,452","13,537,281","+73,246","1,356,104","24,785"
"
South America
","10,359,430","+1,428","310,055",+52,"9,340,446","+1,676","708,929","17,453"
"
Europe
","14,148,227","+192,015","325,915","+3,208","5,253,183","+84,759","8,569,129","29,712"
"
Africa
","1,995,995","+8,263","47,698",+260,"1,678,793","+10,738","269,504","2,580"
"
Oceania
","42,143",+22,994,,"32,911",+8,"8,238",26
"

",721,,15,,659,,47,4
S. Korea,"28,546",+208,493 ,+1,"25,691",+55,"2,362",56
Albania,"27,830",+597,623 ,+11,"12,889",+122,"14,318",17
Australia,"27,728",+17,907 ,,"25,490",+8,"1,331",
Montenegro,"27,177",+491,391 ,+6,"17,387",+236,"9,399",31
Luxembourg,"27,092",+548,226 ,+4,"15,428",,"11,438",46
Cameroon,"22,692",,433 ,,"21,510",,749,41
Ivory Coast,"20,976",+31,128 ,+1,"20,647",+17,201,
Finland,"19,315",+213,369 ,,"14,000",,"4,946",15
Madagascar,"17,310",+87,250 ,+1,"16,592",+76,468,16
Sri Lanka,"17,287",+704,58 ,+5,"11,495",+171,"5,734",
Zambia,"17,123",+26,353 ,+3,"16,137",,633,
Uganda,"16,020",+231,145 ,+1,"8,038",,"7,837",
Senegal,"15,793",+14,328 ,+1,"15,416",+9,49,4
Sudan,"14,626",,"1,116 ",,"9,571",,"3,939",
Mozambique,"14,448",+108,113 ,+3,"12,505",,"1,830",
Namibia,"13,508",+59,138 ,,"12,680",+213,690,6
Angola,"13,451",+77,322 ,,"6,444",+99,"6,685",28
Guinea,"12,611",+26,75 ,+1,"11,151",+110,"1,385",24
Maldives,"12,204",+50,44 ,+2,"11,289",+27,871,12
DRC,"11,760",,319 ,,"11,086",,355,
French Polynesia,"11,706",,53 ,,"4,842",,"6,811",26
Tajikistan,"11,610",+37,85 ,,"10,973",+39,552,
French Guiana,"10,844",,70 ,,"9,995",,779,
Latvia,"10,547",+316,123 ,+2,"1,515",,"8,909",14
Jamaica,"9,884",+104,231 ,+2,"5,248",+20,"4,405",6
Cabo Verde,"9,822",+42,103 ,+1,"9,220",+72,499,23
Haiti,"9,168",,232 ,,"7,701",,"1,235",
Gabon,"9,062",,58 ,,"8,939",,65,7
Zimbabwe,"8,829",+43,257 ,,"8,096",,476,
Botswana,"8,225",,27 ,,"5,559",,"2,639",1
Guadeloupe,"8,098",,139 ,,"2,242",,"5,717",15
Malta,"8,034",+117,97 ,+2,"5,765",+63,"2,172",13
Mauritania,"7,952",+4,165 ,,"7,524",+8,263,4
Estonia,"7,637",+226,81 ,+1,"4,741",+33,"2,815",9
Cuba,"7,590",+22,131 ,,"7,060",+45,399,2
Bahamas,"7,186",+23,156 ,+1,"5,323",+41,"1,707",3
Cyprus,"7,178",+127,39 ,,"2,021",,"5,118",7
Réunion,"6,881",,29 ,,"5,928",,924,21
Syria,"6,684",+71,345 ,+4,"2,714",+49,"3,625",
Eswatini,"6,095",+2,119 ,,"5,779",+8,197,11
Trinidad and Tobago,"6,080",+3,112 ,,"5,402",+29,566,3
Malawi,"5,965",+1,185 ,,"5,399",,381,4
Andorra,"5,872",+147,76  ,+1,"4,747",+72,"1,049",20
Nicaragua,"5,661",,158 ,,"4,225",,"1,278",
Djibouti,"5,649",+4,61 ,,"5,525",+6,63,
Congo,"5,515",,92 ,,"3,887",,"1,536",
Hong Kong,"5,459",+14,108 ,,"5,194",+7,157,6
Rwanda,"5,455",+61,45 ,+3,"4,995",+1,415,
